username,week_index,week_label,persona_type,initial_weight,target_weight,avg_daily_steps,cardio_hours_weekly,fast_food_meals_weekly,avg_calories_per_meal,current_weight,weekly_intake,weekly_burn,weekly_deficit,will_hit_target
user_1,1,Week 1,Inconsistent,95.16926605996787,88.03157110547028,7339.771422718141,1.82099685146484,2.0,782.180333805406,94.95533311220413,15236.294892551081,-268.8120585711249,-15505.106951122205,Failure
user_1,2,Week 2,Inconsistent,95.16926605996787,88.03157110547028,10390.257466865112,1.906944408725396,1.0,777.5830129318949,94.78530162660847,14425.442768768247,400.90175508833477,-14024.541013679913,Failure
user_1,3,Week 3,Inconsistent,95.16926605996787,88.03157110547028,4542.814171429267,3.8190738590924496,7.0,833.8862502075954,94.20101868344193,19091.68466935067,-2509.044519610047,-21600.72918896072,Failure
user_1,4,Week 4,Inconsistent,95.16926605996787,88.03157110547028,5853.182486907811,2.1298647145182485,4.0,525.7042043883654,93.86528909637315,9172.124222835922,-1281.3679327509597,-10453.492155586882,Failure
user_1,5,Week 5,Inconsistent,95.16926605996787,88.03157110547028,5627.621464037448,3.8316001930389483,3.0,906.844562798547,93.5634547421534,18411.278339844397,-452.29888819033795,-18863.577228034734,Failure
user_1,6,Week 6,Inconsistent,95.16926605996787,88.03157110547028,1877.697681537585,1.7982085497285443,3.0,711.7412498562945,93.03002896392054,17611.467657406778,-1046.4734059774119,-18657.94106338419,Failure
user_1,7,Week 7,Inconsistent,95.16926605996787,88.03157110547028,8036.420969726016,2.1965879757902265,3.0,842.3341080172122,92.56399436569444,18677.000812076836,-658.8613563556539,-19335.86216843249,Failure
user_1,8,Week 8,Inconsistent,95.16926605996787,88.03157110547028,7913.693452629613,0.0,3.0,537.4249842179728,92.26848475597232,15180.572797126155,-1104.3153273685193,-16284.888124494675,Failure
user_1,9,Week 9,Inconsistent,95.16926605996787,88.03157110547028,7017.8970982486135,4.290819186756203,1.0,453.0922159471887,92.3175786948535,6381.990765683715,709.0586922636712,-5672.932073420044,Failure
user_1,10,Week 10,Inconsistent,95.16926605996787,88.03157110547028,6178.945033186984,2.866221189744982,1.0,868.13069015438,92.04723963927984,16656.038398712553,382.1914896083456,-16273.846909104208,Failure
user_1,11,Week 11,Inconsistent,95.16926605996787,88.03157110547028,2046.20240282355,4.49502527464913,3.0,790.8716670670655,91.81816406111854,18189.585665641986,-498.6848249289965,-18688.270490570983,Failure
